Width,Color,Steering_angle_difference,Other_lane_intersection
2,0,-1.2645223848521705,0.0
2,1,-1.3068829029798505,0.0
2,2,-1.184604175388813,0.0
2,3,-1.1764524839818475,0.0
2,4,-1.4150062128901482,0.0
2,5,-1.0947955399751663,0.0
2,6,-0.975156899541616,0.0
2,7,-1.082634802907705,0.0
2,8,-0.9755240045487881,0.0
2,9,-1.106880854815245,0.0
2,10,-1.109773017466068,0.0
2,11,-1.3679635375738142,0.0
2,12,-1.5050530955195427,0.0
2,13,-1.1912637576460838,0.0
2,14,-1.301357448101044,0.0
2,15,-1.2243694998323917,0.0
2,16,-1.1317594535648823,0.0
2,17,-0.9863619394600391,0.0
2,18,-1.2632522024214268,0.0
2,19,-1.0987131819128988,0.0
2,20,-0.8981238789856434,0.0
2,21,-1.1044159047305584,0.0
2,22,-0.9889416694641113,0.0
2,23,-0.9809441305696964,0.0
2,24,-0.890636693686246,0.0
2,25,-1.090671356767416,0.0
2,26,-0.764804296195507,0.0
2,27,-0.719002902507782,0.0
2,28,-0.9613049179315567,0.0
2,29,-0.8849146477878093,0.0
2,30,-0.715886455029249,0.0
2,31,-0.600994996726513,0.0
2,32,-0.9431837126612663,0.0
2,33,-0.6024902947247022,0.0
2,34,-1.0092296265065666,0.0
2,35,-0.7321968711912629,0.0
2,36,-0.848636832088232,0.0
2,37,-0.4461228772997854,0.0
2,38,-0.6188177950680258,0.0
2,39,-0.6874895244836806,0.0
2,40,-0.9691778719425199,0.0
2,41,-0.6360798962414262,0.0
2,42,-0.8958598375320435,0.0
2,43,-0.1811976879835127,0.0
2,44,-0.5077733844518659,0.0
2,45,-0.6468557491898537,0.0
2,46,-0.9122517742216586,0.0
2,47,-0.5211515389382838,0.0
2,48,-0.628346752375364,0.0
2,49,0.013102509081364122,0.0
2,50,-0.6366950906813142,0.0
2,51,-0.5369515679776664,0.0
2,52,-0.700339071452617,0.0
2,53,-0.47973179444670677,0.0
2,54,-0.0050371736288067626,0.0
2,55,-0.3598114773631091,0.0
2,56,-0.3664467595517634,0.0
2,57,-0.8772548101842401,0.0
2,58,-0.3703090101480483,0.0
2,59,-0.7934510633349416,0.0
2,60,-0.5691952332854269,0.0
2,61,-0.39647258073091507,0.0
2,62,-0.5843391157686709,0.0
2,63,-0.43300142884254456,0.0
2,64,-0.4760512784123413,0.0
2,65,-0.09586621820926683,0.0
2,66,-0.4854883477091787,0.0
2,67,-0.2916680350899698,0.0
2,68,-0.000996522605419048,0.0
2,69,-0.25508351624011943,0.0
2,70,-0.29712106287479406,0.0
2,71,0.06422373279929158,0.0
2,72,-0.12248551100492482,0.0
2,73,0.12906989455223103,0.0
2,74,-0.035536568611860164,0.0
2,75,-0.032457381486892645,0.0
2,76,-0.4544112496078012,0.0
2,77,-0.16219602152705204,0.0
2,78,0.24398661032319055,0.0
2,79,0.11489594727754598,0.0
2,80,0.15979818627238293,0.0
2,81,-0.04515635222196546,0.0
2,82,0.1970954723656179,0.0
2,83,-0.1261647343635559,0.0
2,84,-0.3975287862122058,0.0
2,85,-0.0065321139991288135,0.0
2,86,-0.2514632008969781,0.0
2,87,0.12296502664685269,0.0
2,88,0.10925146937370317,0.0
2,89,-0.021590743213892066,0.0
2,90,0.38008399680256855,0.0
2,91,0.0362963341176514,0.0
2,92,0.5032025240361694,0.0
2,93,-0.1060924939811226,0.0
2,94,0.545632153749466,0.0
2,95,0.23880736902356164,0.0
2,96,0.5073008127510548,0.0
2,97,0.3606054298579692,0.0
2,98,0.3681254982948303,0.0
2,99,0.1481290794908996,0.0
2,100,0.4279632568359374,0.0
2,101,0.2826780565083028,0.0
2,102,0.331890393048525,0.0
2,103,1.1021587774157524,0.0
2,104,0.507391605526209,0.0
2,105,0.48666957393288657,0.0
2,106,0.6222846359014511,0.0
2,107,0.5580343157052996,0.0
2,108,0.5184463001787661,0.0
2,109,0.604546919465065,0.0
2,110,0.6332475431263445,0.0
2,111,0.7963560633361341,0.0
2,112,0.3590262271463872,0.0
2,113,0.7771624289453032,0.0
2,114,0.24593904241919512,0.0
2,115,1.054813466966152,0.0
2,116,0.5553964860737325,0.0
2,117,0.746825538575649,0.0
2,118,0.7572858892381189,0.0
2,119,0.9368791989982127,0.0
2,120,1.5427838414907455,0.0
2,121,0.602205365896225,0.0
2,122,0.9204913191497325,0.0
2,123,0.5524020083248615,0.0
2,124,0.8595435321331023,0.0
2,125,0.5870574973523617,0.0
2,126,0.7377007901668549,0.0
2,127,1.008017152547836,0.0
2,128,0.8311706930398939,0.0
2,129,1.0717603042721748,0.0
2,130,0.7447121664881708,0.0
2,131,0.8683690652251244,0.0
2,132,1.032486941665411,0.0
2,133,1.0567910708487034,0.0
2,134,1.0684320628643036,0.0
2,135,0.7999608516693117,0.0
2,136,0.9297435805201529,0.0
2,137,1.211203891783953,0.0
2,138,0.891103830188513,0.0
2,139,1.0859908051788807,0.0
2,140,1.180681090801954,0.0
2,141,1.115974549204111,0.0
2,142,1.249904602766037,0.0
2,143,1.105945535004139,0.0
2,144,1.2518108561635022,0.0
2,145,1.0342457927763467,0.0
2,146,0.9440725371241571,0.0
2,147,0.9222747571766379,0.0
2,148,1.1727885380387308,0.0
2,149,0.9999690726399424,0.0
2,150,1.4099588990211487,0.0
2,151,1.229846742004156,0.0
2,152,1.3230662159621713,0.0
2,153,1.1077650748193262,0.0
2,154,1.080683957785368,0.0
2,155,1.3745650760829449,0.0
2,156,1.3838222809135914,0.0
2,157,1.4031952396035194,0.0
2,158,1.077217604964972,0.0
