Width,Color,Steering_angle_difference
6.00,102.00,-0.50
6.00,103.00,-0.34
6.00,104.00,0.24
6.00,105.00,-0.55
6.00,106.00,-0.56
6.00,107.00,-0.81
6.00,108.00,-0.62
6.00,109.00,-0.74
6.00,110.00,0.15
6.00,111.00,-0.61
6.00,112.00,-0.48
6.00,113.00,-0.51
6.00,114.00,-0.44
6.00,115.00,-0.35
6.00,116.00,-0.48
6.00,117.00,-0.38
6.00,118.00,-0.56
6.00,119.00,-0.30
6.00,120.00,-0.08
6.00,121.00,-0.26
6.00,122.00,-0.54
6.00,123.00,-0.42
6.00,124.00,0.02
6.00,125.00,0.26
6.00,126.00,0.04
6.00,127.00,0.27
6.00,128.00,-0.08
6.00,129.00,-0.43
6.00,130.00,-0.03
6.00,131.00,0.16
6.00,132.00,-0.55
6.00,133.00,0.72
6.00,134.00,0.10
6.00,135.00,0.18
6.00,136.00,1.02
6.00,137.00,0.47
6.00,138.00,0.25
6.00,139.00,0.07
6.00,140.00,-0.53
6.00,141.00,0.29
6.00,142.00,0.15
6.00,143.00,0.21
6.00,144.00,0.38
6.00,145.00,-0.04
6.00,146.00,0.70
6.00,147.00,0.79
6.00,148.00,0.35
6.00,149.00,0.39
6.00,150.00,0.71
6.00,151.00,0.52
6.00,152.00,0.75
6.00,153.00,0.74
6.00,154.00,0.54
6.00,155.00,0.88
6.00,156.00,0.93
6.00,157.00,0.96
6.00,158.00,0.55
6.00,159.00,1.07
6.00,160.00,1.34
6.00,161.00,1.05
6.00,162.00,0.78
6.00,163.00,1.12
6.00,164.00,1.30
6.00,165.00,1.02
6.00,166.00,1.07
6.00,167.00,1.12
6.00,168.00,0.70
6.00,169.00,1.23
6.00,170.00,1.15
6.00,171.00,1.25
6.00,172.00,1.08
6.00,173.00,1.37
6.00,174.00,1.15
6.00,175.00,1.11
6.00,176.00,1.39
6.00,177.00,1.01
6.00,178.00,1.07
6.00,179.00,1.13
6.00,180.00,1.11
6.00,181.00,1.11
6.00,182.00,1.43
6.00,183.00,1.29
6.00,184.00,1.09
6.00,185.00,0.90
6.00,186.00,1.03
6.00,187.00,1.20
6.00,188.00,0.71
6.00,189.00,0.85
6.00,190.00,1.06
6.00,191.00,1.12
6.00,192.00,1.05
6.00,193.00,1.30
6.00,194.00,1.27
6.00,195.00,1.33
6.00,196.00,1.11
6.00,197.00,1.15
6.00,198.00,1.19
6.00,199.00,0.94
6.00,200.00,1.58
6.00,201.00,1.07
6.00,202.00,1.35
6.00,203.00,1.25
6.00,204.00,1.19
6.00,205.00,1.15
6.00,206.00,1.14
6.00,207.00,1.40
6.00,208.00,1.22
6.00,209.00,1.34
6.00,210.00,1.49
6.00,211.00,1.30
6.00,212.00,1.13
6.00,213.00,1.13
6.00,214.00,0.73
6.00,215.00,1.34
6.00,216.00,0.93
6.00,217.00,1.26
6.00,218.00,1.12
6.00,219.00,1.08
6.00,220.00,1.09
6.00,221.00,1.14
6.00,222.00,1.18
6.00,223.00,1.17
6.00,224.00,1.27
6.00,225.00,1.20
6.00,226.00,1.21
6.00,227.00,1.03
6.00,228.00,1.11
6.00,229.00,1.07
6.00,230.00,0.92
6.00,231.00,1.19
6.00,232.00,1.19
6.00,233.00,0.94
6.00,234.00,1.05
6.00,235.00,1.15
6.00,236.00,1.10
6.00,237.00,1.21
6.00,238.00,1.07
6.00,239.00,1.23
6.00,240.00,1.35
6.00,241.00,0.94
6.00,242.00,0.72
6.00,243.00,1.19
6.00,244.00,0.79
6.00,245.00,0.49
6.00,246.00,0.90
6.00,247.00,0.67
6.00,248.00,1.08
6.00,249.00,1.03
6.00,250.00,0.50
6.00,251.00,0.43
6.00,252.00,0.76
6.00,253.00,0.68
6.00,254.00,0.52
7.00,0.00,28.93
7.00,1.00,29.03
7.00,2.00,28.04
7.00,3.00,28.09
7.00,4.00,28.25
7.00,5.00,28.76
7.00,6.00,28.65
7.00,7.00,28.84
7.00,8.00,28.31
7.00,9.00,29.69
7.00,10.00,28.39
7.00,11.00,30.31
7.00,12.00,29.28
7.00,13.00,27.91
7.00,14.00,28.65
7.00,15.00,28.58
7.00,16.00,29.15
7.00,17.00,28.18
7.00,18.00,28.89
7.00,19.00,28.50
7.00,20.00,27.70
7.00,21.00,29.97
7.00,22.00,28.18
7.00,23.00,28.51
7.00,24.00,29.05
7.00,25.00,28.63
7.00,26.00,28.22
7.00,27.00,32.40
7.00,28.00,28.54
7.00,29.00,28.57
7.00,30.00,27.93
7.00,31.00,27.81
7.00,32.00,28.09
7.00,33.00,28.30
7.00,34.00,28.28
7.00,35.00,28.50
7.00,36.00,28.03
7.00,37.00,28.21
7.00,38.00,28.13
7.00,39.00,29.04
7.00,40.00,28.79
7.00,41.00,27.18
7.00,42.00,27.37
7.00,43.00,29.90
7.00,44.00,28.16
7.00,45.00,18.73
7.00,46.00,29.44
7.00,47.00,16.35
7.00,48.00,16.08
7.00,49.00,19.46
7.00,50.00,7.26
7.00,51.00,9.08
7.00,52.00,10.13
7.00,53.00,-2.47
7.00,54.00,9.02
7.00,55.00,7.71
7.00,56.00,6.59
7.00,57.00,-1.54
7.00,58.00,-1.41
7.00,59.00,-1.49
7.00,60.00,-1.34
7.00,61.00,-1.79
7.00,62.00,-1.38
7.00,63.00,-1.29
7.00,64.00,-1.51
7.00,65.00,-1.51
7.00,66.00,-1.34
7.00,67.00,-1.01
7.00,68.00,-1.70
7.00,69.00,-0.90
7.00,70.00,-2.09
7.00,71.00,-1.50
7.00,72.00,-2.40
7.00,73.00,-1.67
7.00,74.00,-1.72
7.00,75.00,-1.52
7.00,76.00,-1.30
7.00,77.00,-1.77
7.00,78.00,-2.08
7.00,79.00,-1.48
7.00,80.00,-2.23
7.00,81.00,-1.67
7.00,82.00,-1.51
7.00,83.00,-1.09
7.00,84.00,-1.14
7.00,85.00,-1.83
7.00,86.00,-1.43
7.00,87.00,-1.14
7.00,88.00,-0.83
7.00,89.00,-1.35
7.00,90.00,-0.69
7.00,91.00,-1.06
7.00,92.00,-0.78
7.00,93.00,-0.55
7.00,94.00,-0.70
7.00,95.00,-0.49
7.00,96.00,-0.69
7.00,97.00,-0.36
7.00,98.00,-0.65
7.00,99.00,-0.71
7.00,100.00,-0.40
7.00,101.00,-0.62
7.00,102.00,-0.40
7.00,103.00,-0.48
7.00,104.00,-0.50
7.00,105.00,-0.35
7.00,106.00,-0.58
7.00,107.00,-0.67
7.00,108.00,-0.38
7.00,109.00,-0.53
7.00,110.00,-0.60
7.00,111.00,-0.66
7.00,112.00,-0.51
7.00,113.00,-0.22
7.00,114.00,-0.41
7.00,115.00,-0.48
7.00,116.00,-0.45
7.00,117.00,-0.52
7.00,118.00,-0.53
7.00,119.00,-0.42
7.00,120.00,-0.69
7.00,121.00,-0.59
7.00,122.00,-0.51
7.00,123.00,-0.50
7.00,124.00,-0.28
7.00,125.00,-0.48
7.00,126.00,-0.44
7.00,127.00,-0.15
7.00,128.00,-0.46
7.00,129.00,-0.37
7.00,130.00,-0.27
7.00,131.00,-0.25
7.00,132.00,-0.27
7.00,133.00,-0.26
7.00,134.00,0.27
7.00,135.00,0.15
7.00,136.00,0.14
7.00,137.00,0.09
7.00,138.00,0.17
7.00,139.00,-0.55
7.00,140.00,0.20
7.00,141.00,-0.10
7.00,142.00,0.04
7.00,143.00,0.59
7.00,144.00,0.30
7.00,145.00,0.49
7.00,146.00,0.13
7.00,147.00,0.05
7.00,148.00,0.55
7.00,149.00,0.76
7.00,150.00,-0.08
7.00,151.00,0.70
7.00,152.00,0.04
7.00,153.00,0.76
7.00,154.00,0.70
7.00,155.00,0.52
7.00,156.00,1.02
7.00,157.00,0.74
7.00,158.00,0.66
7.00,159.00,1.04
7.00,160.00,1.12
7.00,161.00,1.31
7.00,162.00,0.97
7.00,163.00,1.11
7.00,164.00,1.18
7.00,165.00,0.92
7.00,166.00,1.32
7.00,167.00,1.18
7.00,168.00,0.77
7.00,169.00,1.20
7.00,170.00,0.96
7.00,171.00,1.16
7.00,172.00,1.04
7.00,173.00,1.21
7.00,174.00,1.21
7.00,175.00,1.31
7.00,176.00,1.16
7.00,177.00,1.20
7.00,178.00,1.13
7.00,179.00,1.21
7.00,180.00,0.89
7.00,181.00,1.17
7.00,182.00,1.10
7.00,183.00,0.99
7.00,184.00,0.89
7.00,185.00,1.00
7.00,186.00,1.02
7.00,187.00,0.89
7.00,188.00,0.99
7.00,189.00,0.99
7.00,190.00,1.24
7.00,191.00,1.29
7.00,192.00,1.21
7.00,193.00,1.22
7.00,194.00,1.10
7.00,195.00,1.30
7.00,196.00,1.13
7.00,197.00,1.26
7.00,198.00,1.03
7.00,199.00,0.98
7.00,200.00,1.12
7.00,201.00,1.01
7.00,202.00,1.11
7.00,203.00,1.09
7.00,204.00,0.88
7.00,205.00,0.95
7.00,206.00,1.08
7.00,207.00,0.99
7.00,208.00,0.99
7.00,209.00,1.19
7.00,210.00,1.09
7.00,211.00,1.29
7.00,212.00,1.15
7.00,213.00,1.25
7.00,214.00,1.25
7.00,215.00,1.09
7.00,216.00,1.06
7.00,217.00,1.15
7.00,218.00,1.06
7.00,219.00,1.07
7.00,220.00,0.95
7.00,221.00,0.82
7.00,222.00,1.09
7.00,223.00,1.11
7.00,224.00,0.85
7.00,225.00,1.18
7.00,226.00,0.70
7.00,227.00,1.10
7.00,228.00,1.01
7.00,229.00,1.13
7.00,230.00,1.03
7.00,231.00,1.19
7.00,232.00,1.14
7.00,233.00,1.08
7.00,234.00,1.05
7.00,235.00,0.68
7.00,236.00,0.97
7.00,237.00,1.34
7.00,238.00,1.15
7.00,239.00,0.99
7.00,240.00,0.91
7.00,241.00,0.63
7.00,242.00,0.57
7.00,243.00,0.86
7.00,244.00,0.61
7.00,245.00,0.90
7.00,246.00,0.64
7.00,247.00,0.76
7.00,248.00,0.77
7.00,249.00,0.64
7.00,250.00,0.77
7.00,251.00,0.86
7.00,252.00,0.73
7.00,253.00,0.70
7.00,254.00,0.53
8.00,0.00,28.70
8.00,1.00,27.67
8.00,2.00,30.95
8.00,3.00,28.96
8.00,4.00,29.65
8.00,5.00,30.37
8.00,6.00,28.10
8.00,7.00,27.97
8.00,8.00,28.83
8.00,9.00,28.41
8.00,10.00,29.13
8.00,11.00,27.93
8.00,12.00,28.11
8.00,13.00,28.22
8.00,14.00,30.07
8.00,15.00,27.68
8.00,16.00,27.39
8.00,17.00,29.12
8.00,18.00,28.16
8.00,19.00,29.53
8.00,20.00,28.46
8.00,21.00,28.93
8.00,22.00,28.64
8.00,23.00,30.24
8.00,24.00,28.58
8.00,25.00,28.87
8.00,26.00,29.35
8.00,27.00,29.16
8.00,28.00,29.60
8.00,29.00,28.52
8.00,30.00,28.42
8.00,31.00,28.50
8.00,32.00,29.05
8.00,33.00,28.77
8.00,34.00,28.42
8.00,35.00,28.03
8.00,36.00,29.40
8.00,37.00,29.26
8.00,38.00,29.39
8.00,39.00,28.38
8.00,40.00,28.39
8.00,41.00,28.58
8.00,42.00,28.84
8.00,43.00,27.79
8.00,44.00,28.11
8.00,45.00,29.49
8.00,46.00,28.48
8.00,47.00,29.01
8.00,48.00,27.48
8.00,49.00,27.34
8.00,50.00,28.96
8.00,51.00,27.64
8.00,52.00,27.65
8.00,53.00,29.92
8.00,54.00,20.84
8.00,55.00,6.67
8.00,56.00,32.88
8.00,57.00,8.65
8.00,58.00,19.19
8.00,59.00,5.62
8.00,60.00,8.87
8.00,61.00,-1.80
8.00,62.00,-2.15
8.00,63.00,-1.51
8.00,64.00,-1.81
8.00,65.00,-1.46
8.00,66.00,-1.36
8.00,67.00,-1.62
8.00,68.00,-1.58
8.00,69.00,-1.39
8.00,70.00,-2.06
8.00,71.00,-1.31
8.00,72.00,-2.19
8.00,73.00,-1.52
8.00,74.00,-1.45
8.00,75.00,-2.17
8.00,76.00,-1.83
8.00,77.00,-1.54
8.00,78.00,-2.14
8.00,79.00,-1.56
8.00,80.00,-2.07
8.00,81.00,-1.82
8.00,82.00,-2.05
8.00,83.00,-1.45
8.00,84.00,-1.07
8.00,85.00,-2.47
8.00,86.00,-1.51
8.00,87.00,-1.22
8.00,88.00,-1.29
8.00,89.00,-1.38
8.00,90.00,-1.42
8.00,91.00,-1.28
8.00,92.00,-1.25
8.00,93.00,-0.96
8.00,94.00,-0.94
8.00,95.00,-1.08
8.00,96.00,-0.74
8.00,97.00,-0.63
8.00,98.00,-0.58
8.00,99.00,-0.71
8.00,100.00,-0.78
8.00,101.00,-0.65
8.00,102.00,-0.42
8.00,103.00,-0.49
8.00,104.00,-0.67
8.00,105.00,-0.58
8.00,106.00,-0.54
8.00,107.00,-0.64
8.00,108.00,-0.61
8.00,109.00,-0.36
8.00,110.00,-0.74
8.00,111.00,-0.35
8.00,112.00,-0.51
8.00,113.00,-0.68
8.00,114.00,-0.56
8.00,115.00,-0.28
8.00,116.00,-0.74
8.00,117.00,-0.18
8.00,118.00,-0.63
8.00,119.00,-0.51
8.00,120.00,-0.53
8.00,121.00,-0.26
8.00,122.00,-0.45
8.00,123.00,-0.27
8.00,124.00,-0.53
8.00,125.00,-0.49
8.00,126.00,-0.59
8.00,127.00,-0.47
8.00,128.00,-0.61
8.00,129.00,-0.57
8.00,130.00,0.18
8.00,131.00,-0.45
8.00,132.00,-0.48
8.00,133.00,-0.26
8.00,134.00,-0.46
8.00,135.00,-0.42
8.00,136.00,-0.49
8.00,137.00,-0.46
8.00,138.00,-0.63
8.00,139.00,-0.28
8.00,140.00,-0.61
8.00,141.00,-0.03
8.00,142.00,-0.05
8.00,143.00,0.03
8.00,144.00,0.14
8.00,145.00,0.15
8.00,146.00,0.33
8.00,147.00,0.44
8.00,148.00,0.25
8.00,149.00,0.42
8.00,150.00,0.30
8.00,151.00,0.05
8.00,152.00,0.11
8.00,153.00,-0.20
8.00,154.00,0.30
8.00,155.00,0.54
8.00,156.00,0.86
8.00,157.00,1.20
8.00,158.00,0.73
8.00,159.00,0.83
8.00,160.00,0.88
8.00,161.00,0.76
8.00,162.00,1.06
8.00,163.00,0.66
8.00,164.00,0.95
8.00,165.00,0.73
8.00,166.00,1.23
8.00,167.00,0.79
8.00,168.00,1.18
8.00,169.00,1.05
8.00,170.00,1.10
8.00,171.00,0.89
8.00,172.00,1.16
8.00,173.00,1.02
8.00,174.00,0.83
8.00,175.00,0.95
8.00,176.00,0.88
8.00,177.00,1.14
8.00,178.00,1.15
8.00,179.00,1.19
8.00,180.00,0.73
8.00,181.00,0.85
8.00,182.00,1.11
8.00,183.00,1.09
8.00,184.00,1.22
8.00,185.00,0.96
8.00,186.00,1.08
8.00,187.00,1.25
8.00,188.00,1.05
8.00,189.00,1.07
8.00,190.00,1.36
8.00,191.00,1.16
8.00,192.00,1.26
8.00,193.00,1.18
8.00,194.00,1.01
8.00,195.00,1.07
8.00,196.00,1.29
8.00,197.00,1.34
8.00,198.00,0.92
8.00,199.00,1.19
8.00,200.00,1.27
8.00,201.00,1.18
8.00,202.00,0.82
8.00,203.00,1.16
8.00,204.00,0.96
8.00,205.00,1.37
8.00,206.00,1.29
8.00,207.00,1.18
8.00,208.00,1.23
8.00,209.00,1.31
8.00,210.00,1.19
8.00,211.00,1.21
8.00,212.00,1.10
8.00,213.00,1.05
8.00,214.00,1.04
8.00,215.00,1.32
8.00,216.00,0.64
8.00,217.00,1.01
8.00,218.00,0.97
8.00,219.00,1.09
8.00,220.00,1.06
8.00,221.00,1.13
8.00,222.00,0.95
8.00,223.00,0.91
8.00,224.00,1.35
8.00,225.00,1.26
8.00,226.00,0.59
8.00,227.00,1.03
8.00,228.00,1.09
8.00,229.00,0.47
8.00,230.00,0.85
8.00,231.00,1.02
8.00,232.00,1.04
8.00,233.00,0.73
8.00,234.00,0.73
8.00,235.00,1.15
8.00,236.00,0.96
8.00,237.00,0.89
8.00,238.00,0.65
8.00,239.00,0.61
8.00,240.00,0.88
8.00,241.00,0.91
8.00,242.00,0.88
8.00,243.00,0.70
8.00,244.00,0.99
8.00,245.00,0.77
8.00,246.00,0.77
8.00,247.00,0.92
8.00,248.00,0.96
8.00,249.00,0.57
8.00,250.00,0.86
8.00,251.00,0.59
8.00,252.00,0.57
8.00,253.00,0.72
8.00,254.00,0.97
9.00,0.00,29.49
9.00,1.00,28.83
9.00,2.00,28.20
9.00,3.00,28.93
9.00,4.00,27.30
9.00,5.00,29.51
9.00,6.00,29.21
9.00,7.00,28.39
9.00,8.00,28.26
9.00,9.00,29.19
9.00,10.00,30.54
9.00,11.00,27.73
9.00,12.00,28.14
9.00,13.00,29.90
9.00,14.00,28.71
9.00,15.00,28.97
9.00,16.00,28.76
9.00,17.00,30.43
9.00,18.00,28.58
9.00,19.00,31.28
9.00,20.00,29.02
9.00,21.00,28.39
9.00,22.00,29.72
9.00,23.00,29.29
9.00,24.00,27.85
9.00,25.00,28.52
9.00,26.00,29.40
9.00,27.00,28.30
9.00,28.00,29.14
9.00,29.00,29.01
9.00,30.00,28.93
9.00,31.00,27.97
9.00,32.00,29.60
9.00,33.00,29.62
9.00,34.00,26.93
9.00,35.00,28.82
9.00,36.00,29.01
9.00,37.00,29.71
9.00,38.00,28.70
9.00,39.00,28.39
9.00,40.00,29.11
9.00,41.00,28.32
9.00,42.00,29.16
9.00,43.00,28.98
9.00,44.00,29.30
9.00,45.00,29.32
9.00,46.00,29.38
9.00,47.00,28.41
9.00,48.00,27.37
9.00,49.00,29.29
9.00,50.00,28.39
9.00,51.00,28.85
9.00,52.00,28.94
9.00,53.00,29.91
9.00,54.00,29.59
9.00,55.00,22.84
9.00,56.00,10.47
9.00,57.00,-3.12
9.00,58.00,9.40
9.00,59.00,2.66
9.00,60.00,7.28
9.00,61.00,7.74
9.00,62.00,8.44
9.00,63.00,-2.35
9.00,64.00,-1.53
9.00,65.00,-1.57
9.00,66.00,8.52
9.00,67.00,-1.27
9.00,68.00,-1.52
9.00,69.00,-1.41
9.00,70.00,-1.44
9.00,71.00,-1.18
9.00,72.00,-1.23
9.00,73.00,-1.19
9.00,74.00,-1.56
9.00,75.00,-1.10
9.00,76.00,-1.48
9.00,77.00,-1.97
9.00,78.00,-2.19
9.00,79.00,-1.76
9.00,80.00,-1.49
9.00,81.00,-1.78
9.00,82.00,-1.81
9.00,83.00,-1.91
9.00,84.00,-1.80
9.00,85.00,-1.28
9.00,86.00,-1.47
9.00,87.00,-1.36
9.00,88.00,-1.65
9.00,89.00,-1.33
9.00,90.00,-1.85
9.00,91.00,-0.65
9.00,92.00,-1.34
9.00,93.00,-0.95
9.00,94.00,-0.55
9.00,95.00,-0.78
9.00,96.00,-1.10
9.00,97.00,-0.66
9.00,98.00,-0.67
9.00,99.00,-0.47
9.00,100.00,-0.75
9.00,101.00,-0.56
9.00,102.00,-0.74
9.00,103.00,-0.34
9.00,104.00,-0.46
9.00,105.00,-0.39
9.00,106.00,-0.59
9.00,107.00,-0.48
9.00,108.00,-0.45
9.00,109.00,-0.50
9.00,110.00,-0.25
9.00,111.00,-0.37
9.00,112.00,-0.26
9.00,113.00,-0.18
9.00,114.00,-0.57
9.00,115.00,-0.60
9.00,116.00,-0.35
9.00,117.00,-0.82
9.00,118.00,-0.81
9.00,119.00,-0.55
9.00,120.00,-0.59
9.00,121.00,-0.49
9.00,122.00,-0.62
9.00,123.00,-0.29
9.00,124.00,-0.54
9.00,125.00,-0.50
9.00,126.00,-0.53
9.00,127.00,-0.34
9.00,128.00,-0.34
9.00,129.00,-0.23
9.00,130.00,-0.36
9.00,131.00,-0.65
9.00,132.00,-0.08
9.00,133.00,-0.37
9.00,134.00,-0.21
9.00,135.00,-0.24
9.00,136.00,-0.48
9.00,137.00,-0.08
9.00,138.00,-0.14
9.00,139.00,-0.44
9.00,140.00,-0.21
9.00,141.00,-0.49
9.00,142.00,-0.03
9.00,143.00,-0.37
9.00,144.00,0.13
9.00,145.00,-0.15
9.00,146.00,0.23
9.00,147.00,0.36
9.00,148.00,0.39
9.00,149.00,0.18
9.00,150.00,0.52
9.00,151.00,-0.05
9.00,152.00,0.18
9.00,153.00,0.13
9.00,154.00,0.28
9.00,155.00,0.51
9.00,156.00,0.43
9.00,157.00,0.69
9.00,158.00,0.26
9.00,159.00,1.30
9.00,160.00,0.81
9.00,161.00,0.99
9.00,162.00,0.33
9.00,163.00,1.09
9.00,164.00,0.90
9.00,165.00,0.53
9.00,166.00,0.98
9.00,167.00,1.02
9.00,168.00,1.19
9.00,169.00,1.14
9.00,170.00,0.97
9.00,171.00,1.29
9.00,172.00,1.10
9.00,173.00,1.13
9.00,174.00,1.36
9.00,175.00,1.09
9.00,176.00,1.35
9.00,177.00,1.21
9.00,178.00,1.26
9.00,179.00,1.04
9.00,180.00,1.16
9.00,181.00,1.14
9.00,182.00,1.17
9.00,183.00,0.88
9.00,184.00,1.02
9.00,185.00,1.10
9.00,186.00,1.23
9.00,187.00,1.08
9.00,188.00,1.48
9.00,189.00,0.95
9.00,190.00,1.00
9.00,191.00,1.17
9.00,192.00,1.26
9.00,193.00,1.18
9.00,194.00,1.21
9.00,195.00,1.13
9.00,196.00,1.02
9.00,197.00,1.03
9.00,198.00,0.94
9.00,199.00,1.13
9.00,200.00,1.28
9.00,201.00,1.38
9.00,202.00,1.19
9.00,203.00,1.42
9.00,204.00,1.35
9.00,205.00,1.05
9.00,206.00,1.26
9.00,207.00,1.13
9.00,208.00,0.97
9.00,209.00,1.33
9.00,210.00,1.20
9.00,211.00,1.22
9.00,212.00,1.13
9.00,213.00,1.34
9.00,214.00,1.06
9.00,215.00,1.08
9.00,216.00,0.97
9.00,217.00,0.94
9.00,218.00,1.07
9.00,219.00,1.18
9.00,220.00,1.10
9.00,221.00,1.17
9.00,222.00,0.82
9.00,223.00,0.94
9.00,224.00,0.92
9.00,225.00,1.14
9.00,226.00,0.59
9.00,227.00,0.85
9.00,228.00,0.86
9.00,229.00,0.86
9.00,230.00,1.20
9.00,231.00,0.77
9.00,232.00,0.69
9.00,233.00,1.26
9.00,234.00,0.75
9.00,235.00,0.81
9.00,236.00,0.62
9.00,237.00,0.59
9.00,238.00,0.45
9.00,239.00,0.43
9.00,240.00,1.02
9.00,241.00,0.82
9.00,242.00,1.13
9.00,243.00,0.59
9.00,244.00,0.67
9.00,245.00,0.62
9.00,246.00,0.85
9.00,247.00,0.61
9.00,248.00,0.61
9.00,249.00,0.46
9.00,250.00,0.66
9.00,251.00,0.45
9.00,252.00,0.89
9.00,253.00,0.63
9.00,254.00,0.59
10.00,0.00,28.46
10.00,1.00,28.78
10.00,2.00,28.08
10.00,3.00,27.59
10.00,4.00,28.84
10.00,5.00,29.85
10.00,6.00,28.95
10.00,7.00,27.96
10.00,8.00,29.44
10.00,9.00,28.50
10.00,10.00,28.51
10.00,11.00,28.75
10.00,12.00,27.01
10.00,13.00,28.36
10.00,14.00,27.91
10.00,15.00,28.78
10.00,16.00,29.63
10.00,17.00,27.87
10.00,18.00,28.55
10.00,19.00,27.86
10.00,20.00,28.79
10.00,21.00,29.22
10.00,22.00,28.52
10.00,23.00,28.09
10.00,24.00,26.83
10.00,25.00,27.60
10.00,26.00,27.90
10.00,27.00,28.70
10.00,28.00,29.53
10.00,29.00,27.75
10.00,30.00,27.67
10.00,31.00,27.98
10.00,32.00,27.30
10.00,33.00,28.66
10.00,34.00,27.07
10.00,35.00,28.09
10.00,36.00,27.93
10.00,37.00,27.48
10.00,38.00,28.58
10.00,39.00,28.67
10.00,40.00,27.73
10.00,41.00,28.92
10.00,42.00,27.77
10.00,43.00,29.08
10.00,44.00,28.05
10.00,45.00,26.98
10.00,46.00,27.78
10.00,47.00,27.71
10.00,48.00,29.54
10.00,49.00,28.39
10.00,50.00,28.41
10.00,51.00,28.32
10.00,52.00,28.38
10.00,53.00,30.06
10.00,54.00,28.71
10.00,55.00,30.37
10.00,56.00,18.02
10.00,57.00,8.26
10.00,58.00,29.81
10.00,59.00,20.04
10.00,60.00,8.60
10.00,61.00,6.91
10.00,62.00,6.59
10.00,63.00,8.12
10.00,64.00,10.04
10.00,65.00,4.97
10.00,66.00,-1.81
10.00,67.00,-2.61
10.00,68.00,-1.97
10.00,69.00,-1.70
10.00,70.00,-1.52
10.00,71.00,-1.60
10.00,72.00,-2.95
10.00,73.00,-1.60
10.00,74.00,-1.55
10.00,75.00,-1.63
10.00,76.00,-2.11
10.00,77.00,-2.54
10.00,78.00,-1.97
10.00,79.00,-1.48
10.00,80.00,-2.10
10.00,81.00,-2.03
10.00,82.00,-2.06
10.00,83.00,-2.10
10.00,84.00,-1.85
10.00,85.00,-2.16
10.00,86.00,-2.29
10.00,87.00,-2.02
10.00,88.00,-1.86
10.00,89.00,-2.15
10.00,90.00,-1.42
10.00,91.00,-1.43
10.00,92.00,-1.06
10.00,93.00,-1.34
10.00,94.00,-0.96
10.00,95.00,-1.54
10.00,96.00,-1.08
10.00,97.00,-0.61
10.00,98.00,-0.77
10.00,99.00,-0.97
10.00,100.00,-0.64
10.00,101.00,-0.93
10.00,102.00,-0.87
10.00,103.00,-0.60
10.00,104.00,-0.70
10.00,105.00,-0.73
10.00,106.00,-0.48
10.00,107.00,-0.91
10.00,108.00,-0.80
10.00,109.00,-0.74
10.00,110.00,-1.03
10.00,111.00,-0.74
10.00,112.00,-0.86
10.00,113.00,-0.58
10.00,114.00,-0.70
10.00,115.00,-0.95
10.00,116.00,-0.78
10.00,117.00,-1.15
10.00,118.00,-0.70
10.00,119.00,-0.69
10.00,120.00,-0.57
10.00,121.00,-0.59
10.00,122.00,-0.73
10.00,123.00,-0.60
10.00,124.00,-0.79
10.00,125.00,-0.80
10.00,126.00,-0.75
10.00,127.00,-0.58
10.00,128.00,-0.71
10.00,129.00,-0.72
10.00,130.00,-0.58
10.00,131.00,-0.74
10.00,132.00,-0.50
10.00,133.00,-0.63
10.00,134.00,-0.68
10.00,135.00,-0.58
10.00,136.00,-0.59
10.00,137.00,-0.16
10.00,138.00,-0.57
10.00,139.00,-0.50
10.00,140.00,-0.61
10.00,141.00,-0.57
10.00,142.00,-0.54
10.00,143.00,-0.24
10.00,144.00,-0.32
10.00,145.00,-0.69
10.00,146.00,-0.07
10.00,147.00,-0.62
10.00,148.00,-0.26
10.00,149.00,0.02
10.00,150.00,0.33
10.00,151.00,0.11
10.00,152.00,-0.03
10.00,153.00,0.82
10.00,154.00,0.63
10.00,155.00,0.09
10.00,156.00,0.19
10.00,157.00,0.80
10.00,158.00,0.47
10.00,159.00,0.74
10.00,160.00,0.83
10.00,161.00,0.70
10.00,162.00,0.32
10.00,163.00,0.66
10.00,164.00,0.96
10.00,165.00,0.99
10.00,166.00,0.63
10.00,167.00,0.60
10.00,168.00,0.72
10.00,169.00,0.65
10.00,170.00,0.99
10.00,171.00,0.72
10.00,172.00,0.74
10.00,173.00,0.80
10.00,174.00,1.33
10.00,175.00,1.37
10.00,176.00,1.01
10.00,177.00,1.20
10.00,178.00,0.90
10.00,179.00,1.26
10.00,180.00,0.96
10.00,181.00,1.26
10.00,182.00,0.89
10.00,183.00,1.05
10.00,184.00,1.29
10.00,185.00,0.63
10.00,186.00,1.07
10.00,187.00,1.14
10.00,188.00,0.95
10.00,189.00,1.13
10.00,190.00,0.97
10.00,191.00,1.14
10.00,192.00,1.18
10.00,193.00,1.18
10.00,194.00,1.06
10.00,195.00,0.93
10.00,196.00,1.00
10.00,197.00,1.33
10.00,198.00,1.19
10.00,199.00,0.91
10.00,200.00,1.18
10.00,201.00,0.83
10.00,202.00,1.02
10.00,203.00,0.78
10.00,204.00,1.26
10.00,205.00,1.10
10.00,206.00,1.39
10.00,207.00,0.89
10.00,208.00,1.22
10.00,209.00,1.47
10.00,210.00,1.14
10.00,211.00,1.27
10.00,212.00,1.32
10.00,213.00,1.09
10.00,214.00,1.31
10.00,215.00,1.20
10.00,216.00,0.98
