Width,Color,Steering_angle_difference
3.00,3.00,-0.36
3.00,4.00,0.58
3.00,5.00,-0.41
3.00,6.00,0.00
3.00,7.00,-0.31
3.00,8.00,-0.47
3.00,9.00,-0.44
3.00,10.00,-0.25
3.00,11.00,-0.25
3.00,12.00,-0.59
3.00,13.00,-0.57
3.00,14.00,-1.21
3.00,15.00,-1.10
3.00,16.00,-0.19
3.00,17.00,-0.56
3.00,18.00,-0.06
3.00,19.00,-0.25
3.00,20.00,0.12
3.00,21.00,-0.06
3.00,22.00,0.00
3.00,23.00,-0.16
3.00,24.00,-0.23
3.00,25.00,-0.15
3.00,26.00,-0.27
3.00,27.00,-0.20
3.00,28.00,0.02
3.00,29.00,-0.20
3.00,30.00,-0.59
3.00,31.00,-0.19
3.00,32.00,-0.21
3.00,33.00,0.07
3.00,34.00,-0.49
3.00,35.00,0.14
3.00,36.00,-0.48
3.00,37.00,-0.30
3.00,38.00,-0.11
3.00,39.00,-0.33
3.00,40.00,-0.14
3.00,41.00,-0.28
3.00,42.00,-0.23
3.00,43.00,-0.52
3.00,44.00,-0.43
3.00,45.00,-0.78
3.00,46.00,-0.98
3.00,47.00,-0.28
3.00,48.00,-0.32
3.00,49.00,-0.29
3.00,50.00,-0.42
3.00,51.00,-0.34
3.00,52.00,-0.89
3.00,53.00,-0.53
3.00,54.00,-0.65
3.00,55.00,-0.29
3.00,56.00,-0.56
3.00,57.00,-0.29
3.00,58.00,-0.46
3.00,59.00,-0.48
3.00,60.00,-0.47
3.00,61.00,-0.34
3.00,62.00,-0.74
3.00,63.00,-0.05
3.00,64.00,-0.37
3.00,65.00,-0.65
3.00,66.00,-0.39
3.00,67.00,-0.48
3.00,68.00,-0.42
3.00,69.00,-0.34
3.00,70.00,-0.70
3.00,71.00,-0.67
3.00,72.00,-0.75
3.00,73.00,-0.54
3.00,74.00,-0.68
3.00,75.00,-0.93
3.00,76.00,-0.88
3.00,77.00,-0.28
3.00,78.00,-0.63
3.00,79.00,-0.67
3.00,80.00,-0.28
3.00,81.00,-0.68
3.00,82.00,-0.53
3.00,83.00,-0.46
3.00,84.00,-0.43
3.00,85.00,-0.27
3.00,86.00,-0.14
3.00,87.00,-0.19
3.00,88.00,0.01
3.00,89.00,0.06
3.00,90.00,-0.17
3.00,91.00,-0.22
3.00,92.00,-0.52
3.00,93.00,-0.85
3.00,94.00,0.08
3.00,95.00,-0.11
3.00,96.00,-0.31
3.00,97.00,0.05
3.00,98.00,0.10
3.00,99.00,-0.18
3.00,100.00,0.21
3.00,101.00,0.10
3.00,102.00,-0.32
3.00,103.00,0.25
3.00,104.00,-0.50
